Time,Channel A
(s),(V)

-2.50014997,-0.84551531
-2.50009997,-0.84551531
-2.50004997,-0.84551531
-2.49999997,-0.83642077
-2.49994997,-0.84551531
-2.49989997,-0.84551531
-2.49984997,-0.84551531
-2.49979997,-0.83642077
-2.49974997,-0.84551531
-2.49969997,-0.83642077
-2.49964997,-0.83642077
-2.49959997,-0.84551531
-2.49954997,-0.84551531
-2.49949997,-0.83642077
-2.49944997,-0.84551531
-2.49939997,-0.84551531
-2.49934997,-0.84551531
-2.49929997,-0.84551531
-2.49924997,-0.84551531
-2.49919997,-0.84551531
-2.49914997,-0.84551531
-2.49909997,-0.84551531
-2.49904997,-0.84551531
-2.49899997,-0.84551531
-2.49894997,-0.84551531
-2.49889997,-0.84551531
-2.49884997,-0.84551531
-2.49879997,-0.84551531
-2.49874997,-0.84551531
-2.49869997,-0.84551531
-2.49864997,-0.84551531
-2.49859997,-0.84551531
-2.49854997,-0.84551531
-2.49849997,-0.84551531
-2.49844997,-0.84551531
-2.49839997,-0.84551531
-2.49834997,-0.84551531
-2.49829997,-0.84551531
-2.49824997,-0.84551531
-2.49819997,-0.84551531
-2.49814997,-0.84551531
-2.49809997,-0.84551531
-2.49804997,-0.84551531
-2.49799997,-0.84551531
-2.49794997,-0.84551531
-2.49789997,-0.84551531
-2.49784997,-0.84551531
-2.49779997,-0.84551531
-2.49774997,-0.84551531
-2.49769997,-0.84551531
-2.49764997,-0.84551531
-2.49759997,-0.84551531
-2.49754997,-0.84551531
-2.49749997,-0.84551531
-2.49744997,-0.84551531
-2.49739997,-0.84551531
-2.49734997,-0.84551531
-2.49729997,-0.84551531
-2.49724997,-0.84551531
-2.49719997,-0.84551531
-2.49714997,-0.84551531
-2.49709997,-0.84551531
-2.49704997,-0.84551531
-2.49699997,-0.84551531
-2.49694997,-0.84551531
-2.49689997,-0.84551531
-2.49684997,-0.84551531
-2.49679997,-0.84551531
-2.49674997,-0.84551531
-2.49669997,-0.84551531
-2.49664997,-0.84551531
-2.49659997,-0.84551531
-2.49654997,-0.84551531
-2.49649997,-0.84551531
-2.49644997,-0.84551531
-2.49639997,-0.84551531
-2.49634997,-0.84551531
-2.49629997,-0.84551531
-2.49624997,-0.84551531
-2.49619997,-0.84551531
-2.49614997,-0.84551531
-2.49609997,-0.84551531
-2.49604997,-0.84551531
-2.49599997,-0.84551531
-2.49594997,-0.84551531
-2.49589997,-0.84551531
-2.49584997,-0.84551531
-2.49579997,-0.84551531
-2.49574997,-0.84551531
-2.49569997,-0.84551531
-2.49564997,-0.84551531
-2.49559997,-0.84551531
-2.49554997,-0.84551531
-2.49549997,-0.84551531
-2.49544997,-0.84551531
-2.49539997,-0.84551531
-2.49534997,-0.84551531
-2.49529997,-0.84551531
-2.49524997,-0.84551531
-2.49519997,-0.84551531
-2.49514997,-0.84551531
-2.49509997,-0.84551531
-2.49504997,-0.84551531
-2.49499997,-0.84551531
-2.49494997,-0.84551531
-2.49489997,-0.84551531
-2.49484997,-0.84551531
-2.49479997,-0.83642077
-2.49474997,-0.84551531
-2.49469997,-0.84551531
-2.49464997,-0.84551531
-2.49459997,-0.84551531
-2.49454997,-0.83642077
-2.49449997,-0.84551531
-2.49444997,-0.83642077
-2.49439997,-0.84551531
-2.49434997,-0.84551531
-2.49429997,-0.84551531
-2.49424997,-0.84551531
-2.49419997,-0.84551531
-2.49414997,-0.84551531
-2.49409997,-0.83642077
-2.49404997,-0.84551531
-2.49399997,-0.83642077
-2.49394997,-0.84551531
-2.49389997,-0.84551531
-2.49384997,-0.83642077
-2.49379997,-0.83642077
-2.49374997,-0.84551531
-2.49369997,-0.83642077
-2.49364997,-0.83642077
-2.49359997,-0.83642077
-2.49354997,-0.84551531
-2.49349997,-0.83642077
-2.49344997,-0.83642077
-2.49339997,-0.83642077
-2.49334997,-0.83642077
-2.49329997,-0.83642077
-2.49324997,-0.84551531
-2.49319997,-0.83642077
-2.49314997,-0.83642077
-2.49309997,-0.83642077
-2.49304997,-0.83642077
-2.49299997,-0.83642077
-2.49294997,-0.83642077
-2.49289997,-0.83642077
-2.49284997,-0.83642077
-2.49279997,-0.83642077
-2.49274997,-0.83642077
-2.49269997,-0.83642077
-2.49264997,-0.83642077
