Time,Channel A
(s),(V)

-10.00059986,-0.82296211
-10.00039986,-0.82296211
-10.00019986,-0.82296211
-9.99999986,-0.82296211
-9.99979986,-0.82296211
-9.99959986,-0.82296211
-9.99939986,-0.82296211
-9.99919986,-0.82296211
-9.99899986,-0.82296211
-9.99879986,-0.82296211
-9.99859986,-0.82296211
-9.99839986,-0.82296211
-9.99819986,-0.82296211
-9.99799986,-0.82296211
-9.99779986,-0.80471206
-9.99759986,-0.82296211
-9.99739986,-0.82296211
-9.99719986,-0.82296211
-9.99699986,-0.82296211
-9.99679986,-0.82296211
-9.99659986,-0.82296211
-9.99639986,-0.80471206
-9.99619986,-0.82296211
-9.99599986,-0.82296211
-9.99579986,-0.82296211
-9.99559986,-0.82296211
-9.99539986,-0.82296211
-9.99519986,-0.82296211
-9.99499986,-0.82296211
-9.99479986,-0.82296211
-9.99459986,-0.82296211
-9.99439986,-0.82296211
-9.99419986,-0.82296211
-9.99399986,-0.82296211
-9.99379986,-0.82296211
-9.99359986,-0.82296211
-9.99339986,-0.82296211
-9.99319986,-0.82296211
-9.99299986,-0.82296211
-9.99279986,-0.82296211
-9.99259986,-0.82296211
-9.99239986,-0.82296211
-9.99219986,-0.82296211
-9.99199986,-0.82296211
-9.99179986,-0.82296211
-9.99159986,-0.82296211
-9.99139986,-0.82296211
-9.99119986,-0.82296211
-9.99099986,-0.82296211
-9.99079986,-0.82296211
-9.99059986,-0.82296211
-9.99039986,-0.82296211
-9.99019986,-0.82296211
-9.98999986,-0.82296211
-9.98979986,-0.82296211
-9.98959986,-0.82296211
-9.98939986,-0.82296211
-9.98919986,-0.82296211
-9.98899986,-0.82296211
-9.98879986,-0.82296211
-9.98859986,-0.82296211
-9.98839986,-0.82296211
-9.98819986,-0.82296211
-9.98799986,-0.82296211
-9.98779986,-0.82296211
-9.98759986,-0.82296211
-9.98739986,-0.82296211
-9.98719986,-0.82296211
-9.98699986,-0.82296211
-9.98679986,-0.82296211
-9.98659986,-0.82296211
-9.98639986,-0.82296211
-9.98619986,-0.82296211
-9.98599986,-0.82296211
-9.98579986,-0.82296211
-9.98559986,-0.82296211
-9.98539986,-0.82296211
-9.98519986,-0.84121221
-9.98499986,-0.82296211
-9.98479986,-0.82296211
-9.98459986,-0.82296211
-9.98439986,-0.82296211
-9.98419986,-0.82296211
-9.98399986,-0.82296211
-9.98379986,-0.82296211
-9.98359986,-0.82296211
-9.98339986,-0.82296211
-9.98319986,-0.82296211
-9.98299986,-0.82296211
-9.98279986,-0.82296211
-9.98259986,-0.82296211
-9.98239986,-0.82296211
-9.98219986,-0.82296211
-9.98199986,-0.82296211
-9.98179986,-0.84121221
-9.98159986,-0.82296211
-9.98139986,-0.82296211
-9.98119986,-0.82296211
-9.98099986,-0.82296211
-9.98079986,-0.82296211
-9.98059986,-0.82296211
-9.98039986,-0.82296211
-9.98019986,-0.82296211
-9.97999986,-0.82296211
-9.97979986,-0.82296211
-9.97959986,-0.82296211
-9.97939986,-0.82296211
-9.97919986,-0.82296211
-9.97899986,-0.82296211
-9.97879986,-0.82296211
-9.97859986,-0.82296211
-9.97839986,-0.82296211
-9.97819986,-0.82296211
-9.97799986,-0.82296211
-9.97779986,-0.82296211
-9.97759986,-0.82296211
-9.97739986,-0.82296211
-9.97719986,-0.82296211
-9.97699986,-0.82296211
-9.97679986,-0.82296211
-9.97659986,-0.82296211
-9.97639986,-0.82296211
-9.97619986,-0.82296211
-9.97599986,-0.82296211
-9.97579986,-0.82296211
-9.97559986,-0.82296211
-9.97539986,-0.82296211
-9.97519986,-0.82296211
-9.97499986,-0.82296211
-9.97479986,-0.82296211
-9.97459986,-0.82296211
-9.97439986,-0.82296211
-9.97419986,-0.82296211
-9.97399986,-0.82296211
-9.97379986,-0.82296211
-9.97359986,-0.82296211
-9.97339986,-0.82296211
-9.97319986,-0.82296211
-9.97299986,-0.82296211
-9.97279986,-0.82296211
-9.97259986,-0.82296211
-9.97239986,-0.82296211
-9.97219986,-0.82296211
-9.97199986,-0.82296211
-9.97179986,-0.82296211
-9.97159986,-0.82296211
-9.97139986,-0.82296211
-9.97119986,-0.82296211
-9.97099986,-0.82296211
-9.97079986,-0.82296211
-9.97059986,-0.82296211
